STUDENT ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,COURSE ID,GRADE,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,"Marital status;Application mode;Application order;Course;""Daytime/evening attendance	"";Previous qualification;Previous qualification (grade);Nacionality;Mother's qualification;Father's qualification;Mother's occupation;Father's occupation;Admission grade;Displaced;Educational special needs;Debtor;Tuition fees up to date;Gender;Scholarship holder;Age at enrollment;International;Curricular units 1st sem (credited);Curricular units 1st sem (enrolled);Curricular units 1st sem (evaluations);Curricular units 1st sem (approved);Curricular units 1st sem (grade);Curricular units 1st sem (without evaluations);Curricular units 2nd sem (credited);Curricular units 2nd sem (enrolled);Curricular units 2nd sem (evaluations);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade);Curricular units 2nd sem (without evaluations);Unemployment rate;Inflation rate;GDP;Target",Interest,Aptitude,SoftSkills,Logic
STUDENT11,1.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,GP,F,15.0,U,GT3,T,4.0,4.0,teacher,health,reputation,mother,1.0,2.0,0.0,no,yes,yes,no,yes,yes,yes,no,3.0,3.0,3.0,1.0,2.0,2.0,0.0,10.0,8.0,9.0,1;1;1;9670;1;1;139.0;1;38;19;5;7;130.6;1;0;0;1;0;0;18;0;0;6;6;6;12.333333333333334;0;0;6;7;5;14.2;0;13.9;-0.3;0.79;Graduate,4,1.8161396775660266,4.707849970127072,1.1035505655787547
STUDENT12,1.0,1.0,1.0,4.0,1.0,1.0,2.0,4.0,2.0,3.0,5.0,5.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,2.0,3.0,1.0,3.0,3.0,4.0,3.0,1.0,0.0,GP,F,15.0,U,GT3,T,2.0,1.0,services,other,reputation,father,3.0,3.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,2.0,2.0,1.0,1.0,4.0,4.0,10.0,12.0,12.0,1;1;1;9500;1;1;136.0;1;19;38;9;9;119.3;1;0;0;1;0;1;18;0;0;8;8;7;13.214285714285714;0;0;8;8;7;13.214285714285714;0;12.7;3.7;-1.7;Graduate,3,3.7094100815776523,7.066425217489339,2.394887145701299
STUDENT13,1.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,5.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,2.0,1.0,0.0,GP,M,15.0,U,LE3,T,4.0,4.0,health,services,course,father,1.0,1.0,0.0,no,yes,yes,yes,yes,yes,yes,no,4.0,3.0,3.0,1.0,3.0,5.0,2.0,14.0,14.0,14.0,1;1;2;9853;1;1;133.0;1;19;37;4;9;130.2;1;0;0;1;0;0;19;0;0;6;6;0;0.0;0;0;6;0;0;0.0;0;12.7;3.7;-1.7;Dropout,6,9.0194019674915,9.40639999186114,2.212215141822992
STUDENT14,2.0,1.0,2.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,4.0,2.0,1.0,1.0,GP,M,15.0,U,GT3,T,4.0,3.0,teacher,other,course,mother,2.0,2.0,0.0,no,yes,yes,no,yes,yes,yes,no,5.0,4.0,3.0,1.0,2.0,3.0,2.0,10.0,10.0,11.0,1;53;1;9254;1;42;110.0;1;1;1;4;7;111.8;1;0;0;1;0;1;21;0;0;6;7;6;10.571428571428571;0;0;6;8;5;11.0;0;8.9;1.4;3.51;Graduate,5,8.066935196947393,3.293212774825043,9.867965941798968
STUDENT15,3.0,2.0,2.0,4.0,1.0,1.0,2.0,3.0,4.0,2.0,3.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,4.0,4.0,1.0,2.0,GP,M,15.0,U,GT3,A,2.0,2.0,other,other,home,other,1.0,3.0,0.0,no,yes,no,no,yes,yes,yes,yes,4.0,5.0,2.0,1.0,1.0,3.0,0.0,14.0,16.0,16.0,1;1;1;9085;1;1;149.0;1;38;37;5;5;137.1;1;0;0;1;0;1;18;0;0;5;7;4;13.25;0;0;5;5;5;12.0;0;10.8;1.4;1.74;Graduate,2,9.848584027624758,0.42200468581298445,3.0600610520894325
STUDENT16,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,4.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,GP,F,16.0,U,GT3,T,4.0,4.0,health,other,home,mother,1.0,1.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,4.0,4.0,1.0,2.0,2.0,4.0,14.0,14.0,14.0,1;1;1;9773;1;1;127.0;1;19;37;9;3;120.7;1;0;0;1;0;0;20;0;0;6;6;5;13.2;0;0;6;7;0;0.0;0;15.5;2.8;-4.06;Dropout,4,7.542482596820808,4.962951255006397,1.274207833593991
STUDENT17,1.0,1.0,2.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,4.0,3.0,1.0,1.0,GP,F,16.0,U,GT3,T,4.0,4.0,services,services,reputation,mother,1.0,3.0,0.0,no,yes,yes,yes,yes,yes,yes,no,3.0,2.0,3.0,1.0,2.0,2.0,6.0,13.0,14.0,14.0,1;18;1;9238;1;1;137.0;1;19;38;5;8;137.4;1;0;0;1;0;0;18;0;0;6;10;1;12.0;0;0;6;14;2;11.0;0;10.8;1.4;1.74;Enrolled,6,3.9319520102792227,5.444613321491686,5.455625441677579
STUDENT18,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,GP,F,16.0,U,GT3,T,3.0,3.0,other,other,reputation,mother,3.0,2.0,0.0,yes,yes,no,yes,yes,yes,no,no,5.0,3.0,2.0,1.0,1.0,4.0,4.0,8.0,10.0,10.0,1;17;2;9500;1;1;135.0;1;19;1;5;4;127.3;1;0;0;1;0;0;18;0;0;7;8;7;13.30625;0;0;8;8;8;14.545;0;15.5;2.8;-4.06;Graduate,6,5.906378339946378,1.6844055113191525,8.579574553975084
STUDENT19,1.0,1.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,5.0,1.0,2.0,5.0,5.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,GP,M,17.0,U,GT3,T,3.0,2.0,services,services,course,mother,1.0,1.0,3.0,no,yes,no,yes,yes,yes,yes,no,5.0,5.0,5.0,2.0,4.0,5.0,16.0,6.0,5.0,5.0,1;1;1;9130;1;1;137.0;1;3;19;3;5;136.3;1;0;0;1;0;0;20;0;0;5;8;4;12.5;1;0;5;8;4;12.25;2;10.8;1.4;1.74;Graduate,2,6.610142542473203,7.604646062760667,6.780603767876752
STUDENT20,1.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,4.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,3.0,GP,M,16.0,U,LE3,T,4.0,3.0,health,other,home,father,1.0,1.0,0.0,no,no,yes,yes,yes,yes,yes,no,3.0,1.0,3.0,1.0,3.0,5.0,4.0,8.0,10.0,10.0,1;1;1;9853;1;1;140.0;1;19;19;7;7;124.6;1;0;0;1;0;0;18;0;0;7;7;6;11.666666666666666;0;0;7;8;6;13.5;0;16.2;0.3;-0.92;Enrolled,4,0.7845581631712395,9.849291084414917,2.960820891354503
STUDENT21,1.0,2.0,2.0,5.0,1.0,2.0,1.0,1.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,4.0,1.0,1.0,GP,M,15.0,U,GT3,T,4.0,3.0,teacher,other,reputation,mother,1.0,2.0,0.0,no,no,no,no,yes,yes,yes,no,4.0,4.0,1.0,1.0,1.0,1.0,0.0,13.0,14.0,15.0,1;1;3;171;1;1;122.0;1;1;1;9;8;120.3;0;0;0;1;0;1;21;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;11.1;0.6;2.02;Graduate,5,5.444969591038651,9.457747170084609,5.61616159791455
STUDENT22,1.0,2.0,2.0,5.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,GP,M,15.0,U,GT3,T,4.0,4.0,health,health,other,father,1.0,1.0,0.0,no,yes,yes,no,yes,yes,yes,no,5.0,4.0,2.0,1.0,1.0,5.0,0.0,12.0,15.0,15.0,1;18;4;9556;1;1;127.0;1;1;38;4;7;121.8;1;0;0;1;0;0;20;0;0;7;14;7;11.4375;0;0;8;9;8;11.425;0;12.7;3.7;-1.7;Enrolled,1,7.093208284726096,1.9710603882365219,7.148559742004092
STUDENT23,2.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,1.0,3.0,GP,M,16.0,U,LE3,T,4.0,2.0,teacher,other,course,mother,1.0,2.0,0.0,no,no,no,yes,yes,yes,yes,no,4.0,5.0,1.0,1.0,3.0,5.0,2.0,15.0,15.0,16.0,1;1;4;9500;1;1;142.0;1;19;19;1;1;125.5;1;0;0;1;0;0;18;0;0;8;12;7;12.857142857142858;0;0;8;12;7;12.857142857142858;0;12.7;3.7;-1.7;Graduate,4,1.6732130400106038,8.753632399007607,7.281044923677423
STUDENT24,3.0,2.0,2.0,2.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,4.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,GP,M,16.0,U,LE3,T,2.0,2.0,other,other,reputation,mother,2.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,4.0,2.0,4.0,5.0,0.0,13.0,13.0,12.0,1;1;4;9670;1;1;125.0;1;1;38;4;7;114.9;1;0;0;1;0;1;19;0;0;6;8;6;13.375;0;0;6;7;6;12.285714285714286;0;11.1;0.6;2.02;Graduate,2,7.806317174255572,7.044936364116847,6.665384552976889
STUDENT25,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,4.0,4.0,1.0,2.0,GP,F,15.0,R,GT3,T,2.0,4.0,services,health,course,mother,1.0,3.0,0.0,yes,yes,yes,yes,yes,yes,yes,no,4.0,3.0,2.0,1.0,1.0,5.0,2.0,10.0,9.0,8.0,1;1;1;9500;1;1;126.0;1;19;19;3;7;123.9;0;0;0;1;0;0;19;0;0;7;8;6;13.296666666666669;0;0;8;9;7;14.114285714285714;0;11.1;0.6;2.02;Graduate,6,5.8377278051411166,4.538465638069116,8.70810424775618
STUDENT26,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,3.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,GP,F,16.0,U,GT3,T,2.0,2.0,services,services,home,mother,1.0,1.0,2.0,no,yes,yes,no,no,yes,yes,no,1.0,2.0,2.0,1.0,3.0,5.0,14.0,6.0,9.0,8.0,1;1;1;9238;1;1;151.0;1;19;38;9;9;157.0;1;0;1;1;0;1;18;0;0;6;8;5;11.6;0;0;6;12;4;11.0;0;7.6;2.6;0.32;Enrolled,5,9.522217856975946,5.406109943247291,8.701054583441044
STUDENT27,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,2.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,GP,M,15.0,U,GT3,T,2.0,2.0,other,other,home,mother,1.0,1.0,0.0,no,yes,yes,no,yes,yes,yes,no,4.0,2.0,2.0,1.0,2.0,5.0,2.0,12.0,12.0,11.0,1;17;2;9238;1;1;115.0;1;19;38;7;8;116.4;1;0;0;1;0;0;21;0;0;6;9;6;11.375;0;0;6;9;6;13.285714285714286;0;16.2;0.3;-0.92;Graduate,4,0.42422298206891695,8.49600174982458,5.789365594070032
STUDENT28,1.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,GP,M,15.0,U,GT3,T,4.0,2.0,health,services,other,mother,1.0,1.0,0.0,no,no,yes,no,yes,yes,yes,no,2.0,2.0,4.0,2.0,4.0,1.0,4.0,15.0,16.0,15.0,1;1;1;9085;1;1;138.0;1;19;19;3;3;131.0;1;0;0;1;0;0;18;0;0;5;9;5;12.666666666666666;2;0;5;7;4;13.0;0;9.4;-0.8;-3.12;Enrolled,1,2.6532613755546697,4.801349396383731,4.298563691112123
STUDENT29,3.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,5.0,4.0,1.0,3.0,GP,M,16.0,U,LE3,A,3.0,4.0,services,other,home,mother,1.0,2.0,0.0,yes,yes,no,yes,yes,yes,yes,no,5.0,3.0,3.0,1.0,1.0,5.0,4.0,11.0,11.0,11.0,1;1;1;9147;1;1;135.0;1;19;1;9;9;122.1;1;0;0;1;0;0;20;0;0;5;6;5;12.0;0;0;5;6;5;12.333333333333334;0;16.2;0.3;-0.92;Graduate,1,6.015538792998241,3.7320736910512684,6.415702955650998
STUDENT30,2.0,2.0,3.0,4.0,2.0,2.0,2.0,1.0,4.0,2.0,3.0,3.0,2.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,4.0,3.0,1.0,5.0,GP,M,16.0,U,GT3,T,4.0,4.0,teacher,teacher,home,mother,1.0,2.0,0.0,no,yes,yes,yes,yes,yes,yes,yes,4.0,4.0,5.0,5.0,5.0,5.0,16.0,10.0,12.0,11.0,1;17;2;9500;1;1;127.0;1;3;3;1;10;118.8;1;0;0;1;1;0;19;0;0;7;9;6;12.933333333333332;0;0;7;7;6;13.716666666666669;0;16.2;0.3;-0.92;Enrolled,3,2.9655991220593068,4.932474930259858,8.182120013704631
STUDENT31,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,5.0,4.0,1.0,5.0,GP,M,15.0,U,GT3,T,4.0,4.0,health,services,home,mother,1.0,2.0,0.0,no,yes,yes,no,no,yes,yes,no,5.0,4.0,2.0,3.0,4.0,5.0,0.0,9.0,11.0,12.0,1;44;1;9003;1;39;150.0;1;4;5;4;2;150.0;0;0;0;1;1;0;21;0;0;6;15;5;11.857142857142858;0;0;6;17;5;10.571428571428571;0;16.2;0.3;-0.92;Enrolled,3,7.144241640712422,5.791298040350491,0.05652104841184724
STUDENT32,3.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,4.0,3.0,1.0,3.0,GP,M,15.0,U,GT3,T,4.0,4.0,services,services,reputation,mother,2.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,4.0,3.0,1.0,1.0,1.0,5.0,0.0,17.0,16.0,17.0,1;51;1;9070;1;1;125.0;1;42;3;125;124;130.0;1;0;0;1;1;0;20;0;2;6;7;6;12.833333333333334;0;0;6;9;4;13.4;0;8.9;1.4;3.51;Graduate,2,7.59005282521931,1.8907765377834884,9.91997009014851
STUDENT33,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,GP,M,15.0,R,GT3,T,4.0,3.0,teacher,at_home,course,mother,1.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,yes,4.0,5.0,2.0,1.0,1.0,5.0,0.0,17.0,16.0,16.0,1;1;1;9147;1;1;143.0;1;1;1;4;6;138.8;0;0;0;0;1;0;18;0;0;5;9;3;11.333333333333334;0;0;5;8;2;13.5;0;8.9;1.4;3.51;Enrolled,4,1.0251596406647445,9.009077302669906,1.8289377232919923
STUDENT34,2.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,GP,M,15.0,U,LE3,T,3.0,3.0,other,other,course,mother,1.0,2.0,0.0,no,no,no,yes,no,yes,yes,no,5.0,3.0,2.0,1.0,1.0,2.0,0.0,8.0,10.0,12.0,1;18;1;8014;0;1;138.0;1;19;1;9;5;134.5;1;0;0;1;0;0;19;0;0;6;6;6;12.666666666666666;0;0;6;8;6;14.375;0;12.4;0.5;1.79;Graduate,4,5.138544642067677,6.741869488296138,4.702489856599762
STUDENT35,1.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,4.0,1.0,1.0,2.0,GP,M,16.0,U,GT3,T,3.0,2.0,other,other,home,mother,1.0,1.0,0.0,no,yes,yes,no,no,yes,yes,no,5.0,4.0,3.0,1.0,1.0,5.0,0.0,12.0,14.0,15.0,1;1;1;9991;0;1;130.0;1;2;37;3;9;131.4;0;0;0;1;1;0;34;0;0;5;6;5;12.4;0;0;5;9;5;13.428571428571429;0;13.9;-0.3;0.79;Graduate,6,5.088905555910559,6.332689173374889,8.720297348428668
